,01_FL.ST,02_FL.FP,03_FL.CL,04_FL.AM,05_SC.BA,06_SC.CH,07_NC.BE,08_VA.WA,09_MA.BA,10_MA.WE,11_MA.DU
01_FL.ST,NA,0.002,0.007,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.007
02_FL.FP,0.721,NA,NA,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.009
03_FL.CL,0.669,NA,NA,0.004,0.005,0.001,0.001,0.001,0.001,0.034,0.03
04_FL.AM,0.783,1,1,NA,1,0.341,0.356,0.284,0.001,0.028,0.085
05_SC.BA,0.806,1,1,-0.208,NA,0.691,0.382,0.895,0.001,0.024,0.062
06_SC.CH,0.825,0.899,0.89,-0.095,-0.068,NA,0.104,0.88,0.001,0.001,0.017
07_NC.BE,0.704,0.783,0.766,-0.043,-0.013,0.023,NA,0.2,0.001,0.001,0.021
08_VA.WA,0.81,0.891,0.881,-0.094,-0.067,-0.033,0.019,NA,0.001,0.003,0.023
09_MA.BA,0.879,1,1,1,1,0.922,0.822,0.914,NA,0.233,0.169
10_MA.WE,0.667,0.867,0.809,0.709,0.761,0.766,0.6,0.744,0.336,NA,1
11_MA.DU,0.635,0.858,0.784,0.638,0.708,0.714,0.518,0.687,0.512,-0.388,NA
